市場,模型,訓練集MSE,測試集MSE,測試集MAPE(%)
SPY,單層 LSTM,28.7072,125.5602,2.14
SPY,雙層 LSTM,31.5709,132.7689,2.41
QQQ,單層 LSTM,24.9399,200.6778,3.36
QQQ,雙層 LSTM,30.4717,279.357,3.73
0050.TW,單層 LSTM,0.174,1.7702,2.94
0050.TW,雙層 LSTM,0.178,1.623,3.02
