市場,有效樣本,總樣本,MSE,RMSE,MAE,R2,MAPE(%)
SPY,415,415,48.78,6.98,4.85,0.9859,0.78
QQQ,415,415,65.64,8.1,5.78,0.9867,1.03
0050_TW,401,401,1.45,1.2,0.83,0.9956,1.3
