市場,各折參數,平均訓練MSE,平均測試MSE,平均測試MAPE(%)
SPY,"(1, 1, 1) / (0, 1, 0) / (3, 1, 2) / (5, 1, 1) / (1, 1, 0)",35.9429,19.5689,0.79
QQQ,"(1, 1, 0) / (3, 1, 2) / (2, 1, 2) / (2, 1, 1) / (0, 1, 1)",16.8272,21.5342,1.04
0050.TW,"(0, 1, 0) / (1, 1, 0) / (2, 1, 2) / (0, 1, 0) / (0, 1, 0)",0.1574,0.1785,0.87
